date	Keiko	PPK	Verónika
19:00	4.76	7.69	
19:05	3.45		20.83
19:10	7.32	12.9	29.73
19:15	5.56	2.56	16.0
19:20		11.5	9.76
19:25	16.0	8.57	10.0
19:30		5.0	10.19
19:35	8.42	24.07	16.09
19:40	9.01	5.56	18.64
19:45	10.67	15.46	12.73
19:50	12.5	17.33	14.32
19:55	17.58	5.15	18.49
20:00	4.76	14.48	15.83
20:05	4.08	11.11	15.44
20:10	3.57		16.0
20:15	5.26	12.77	16.67
20:20	11.76	9.52	17.76
20:25	17.51	5.71	13.51
20:30	18.37	6.52	18.75
20:35	15.19	8.7	15.0
20:40	16.36	11.84	11.76
20:45	18.25	17.14	15.2
20:50	27.14	13.33	19.3
20:55	15.38	7.61	18.84
21:00	22.73	8.2	14.29
21:05	28.0	12.5	32.89
21:10	14.04	6.56	23.93
21:15	16.45	5.66	23.81
21:20	11.49	14.43	22.95
21:25	12.2	10.77	23.21
21:30	14.87	13.46	16.33
21:35	15.15	15.38	18.18
